Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1		
275	-2.25172	275	-2.92065		
276	-2.25172	276	-2.74918		
277	-1.73731	277	-2.92065		
278	-1.2229	278	-2.23477		
279	-1.39437	279	-2.23477		
280	-1.39437	280	-2.92065		
281	-2.25172	281	-2.0633		
282	-1.39437	282	-2.74918		
283	-2.25172	283	-2.0633		
284	-2.25172	284	-2.74918		
285	-2.25172	285	-2.0633		
286	-2.25172	286	-1.89183		
287	-1.39437	287	-2.0633		
288	-1.39437	288	-2.0633		
289	-1.2229	289	-2.92065		
290	-2.4232	290	-3.09212		
291	-2.08025	291	-2.0633		
292	-1.39437	292	-3.26359		
293	-1.39437	293	-2.23477		
294	-1.56584	294	-2.0633		
295	-2.25172	295	-2.92065		
296	-2.25172	296	-2.0633		
297	-2.25172	297	-2.92065		
298	-2.25172	298	-1.89183		
299	-1.39437	299	-2.0633		
300	-1.39437	300	-2.0633		
301	-1.39437	301	-1.89183		
302	-1.39437	302	-2.0633		
303	-1.56584	303	-2.23477		
304	-2.08025	304	-2.0633		
305	-1.39437	305	-2.23477		
306	-1.39437	306	-3.09212		
307	-1.39437	307	-2.23477		
308	-1.2229	308	-2.0633		
309	-1.39437	309	-2.23477		
310	-1.39437	310	-1.89183		
311	-2.25172	311	-1.89183		
312	-1.39437	312	-2.92065		
313	-1.39437	313	-2.0633		
314	-2.25172	314	-1.89183		
315	-2.25172	315	-2.0633		
316	-1.2229	316	-2.23477		
317	-1.39437	317	-1.89183		
318	-2.25172	318	-3.09212		
319	-2.25172	319	-2.23477		
320	-1.39437	320	-2.92065		
321	-1.39437	321	-2.92065		
322	-1.39437	322	-2.0633		
323	-2.25172	323	-3.09212		
324	-1.39437	324	-1.89183		
325	-1.39437	325	-2.57771		
326	-1.39437	326	-2.92065		
327	-2.25172	327	-2.0633		
328	-2.25172	328	-2.0633		
329	-1.39437	329	-2.23477		
330	-1.39437	330	-1.89183		
331	-1.56584	331	-2.0633		
332	-1.39437	332	-1.89183		
333	-1.39437	333	-2.23477		
334	-2.25172	334	-2.0633		
335	-2.25172	335	-2.74918		
336	-1.39437	336	-2.0633		
337	-1.39437	337	-2.0633		
338	-2.25172	338	-2.23477		
339	-2.25172	339	-3.09212		
340	-2.25172	340	-1.89183		
341	-1.39437	341	-2.0633		
342	-1.39437	342	-3.26359		
343	-1.39437	343	-1.89183		
344	-2.25172	344	-2.23477		
345	-2.25172	345	-2.92065		
346	-1.39437	346	-3.09212		
347	-1.39437	347	-2.23477		
348	-2.4232	348	-2.23477		
349	-1.39437	349	-2.23477		
350	-1.56584	350	-2.0633		
351	-2.25172	351	-2.0633		
352	-1.39437	352	-2.23477		
353	-1.39437	353	-3.09212		
354	-1.39437	354	-2.23477		
355	-2.25172	355	-1.89183		
356	-2.25172	356	-2.23477		
357	-2.25172	357	-2.74918		
358	-1.39437	358	-2.0633		
359	-1.39437	359	-2.23477		
360	-2.25172	360	-2.0633		
361	-1.39437	361	-3.09212		
362	-1.39437	362	-2.0633		
363	-1.39437	363	-2.0633		
364	-1.56584	364	-1.89183		
365	-1.90878	365	-3.26359		
366	-2.25172	366	-2.92065		
367	-2.25172	367	-2.0633		
368	-1.39437	368	-2.23477		
369	-2.4232	369	-2.0633		
370	-1.2229	370	-2.0633		
371	-1.39437	371	-2.23477		
372	-1.39437	372	-3.09212		
373	-1.39437	373	-2.92065		
374	-2.25172	374	-2.0633		
375	-1.39437	375	-3.09212		
376	-1.39437	376	-2.23477		
377	-2.25172	377	-3.09212		
378	-2.25172	378	-3.09212		
379	-1.56584	379	-2.92065		
380	-1.39437	380	-2.74918		
381	-1.39437	381	-2.92065		
382	-2.25172	382	-3.09212		
383	-2.25172	383	-2.0633		
384	-1.56584	384	-1.89183		
385	-1.39437	385	-1.89183		
386	-2.25172	386	-2.23477		
387	-1.39437	387	-2.92065		
388	-1.39437	388	-2.0633		
389	-2.4232	389	-2.0633		
390	-1.39437	390	-2.0633		
391	-1.39437	391	-2.0633		
392	-2.25172	392	-2.23477		
393	-1.2229	393	-2.92065		
394	-1.39437	394	-2.0633		
395	-1.39437	395	-2.0633		
396	-1.39437	396	-2.92065		
397	-2.25172	397	-2.23477		
398	-1.05143	398	-2.40624		
399	-1.39437	399	-2.0633		
400	-1.39437	400	-1.89183		
401	-1.39437	401	-2.92065		
402	-1.39437	402	-2.92065		
403	-2.25172	403	-1.89183		
404	-1.39437	404	-2.74918		
405	-2.25172	405	-2.23477		
406	-2.25172	406	-2.23477		
